Time_dec Time_JD TSI[W.m2] Unc TSI_after_corr[W.m2] Unc_after_corr
1.980350444900753018e+03 2.444368000000000000e+06 1.361996802785820819e+03 5.521484375000000134e-04 1.362281783512806896e+03 5.911781233539458022e-04
1.980353182751540089e+03 2.444369000000000000e+06 1.362055502785820863e+03 5.484374999999999884e-04 1.362419148343728011e+03 5.872048710215351961e-04
1.980355920602327160e+03 2.444370000000000000e+06 1.361956702785820880e+03 5.777343750000000144e-04 1.362018923968514855e+03 6.185726525931984059e-04
1.980358658453114231e+03 2.444371000000000000e+06 1.361874202785820898e+03 5.484374999999999884e-04 1.361917044919570799e+03 5.872048710215351961e-04
1.980361396303901529e+03 2.444372000000000000e+06 1.361718102785820747e+03 5.464843749999999866e-04 1.361477359387057732e+03 5.851136855834242938e-04
1.980364134154688600e+03 2.444373000000000000e+06 1.361627502785820752e+03 5.478515625000000529e-04 1.361236408940666252e+03 5.865775153901019254e-04
1.980366872005475670e+03 2.444374000000000000e+06 1.361649102785820787e+03 5.490234375000000323e-04 1.361293377073935744e+03 5.878322266529684668e-04
1.980369609856262741e+03 2.444375000000000000e+06 1.361810002785820870e+03 5.507812499999999471e-04 1.361928363037631016e+03 5.897142935472681705e-04
1.980372347707050039e+03 2.444376000000000000e+06 1.361843902785820774e+03 5.527343749999999488e-04 1.362012313220240685e+03 5.918054789853790729e-04
1.980375085557837110e+03 2.444377000000000000e+06 1.361799502785820778e+03 5.503906249999999901e-04 1.361939966446772360e+03 5.892960564596459901e-04
1.980377823408624181e+03 2.444378000000000000e+06 1.361711602785820787e+03 5.792968749999999507e-04 1.361817639418731687e+03 6.202456009436870194e-04
1.980380561259411252e+03 2.444379000000000000e+06 1.361635802785820715e+03 5.500000000000000331e-04 1.361900150398716505e+03 5.888778193720239180e-04
1.980383299110198550e+03 2.444380000000000000e+06 1.361463302785820815e+03 5.527343749999999488e-04 1.361634835565145977e+03 5.918054789853790729e-04
1.980386036960985621e+03 2.444381000000000000e+06 1.361263502785820720e+03 5.539062500000000366e-04 1.361366311441011248e+03 5.930601902482457227e-04
1.980388774811772691e+03 2.444382000000000000e+06 1.361047002785820723e+03 5.560546875000000168e-04 1.361048482720863376e+03 5.953604942301676068e-04
1.980391512662559990e+03 2.444383000000000000e+06 1.360848302785820806e+03 5.558593750000000383e-04 1.360772112613450872e+03 5.951513756863565166e-04
1.980394250513347060e+03 2.444384000000000000e+06 1.360670002785820770e+03 5.587890625000000409e-04 1.360425958639179953e+03 5.982881538435228701e-04
1.980396988364134131e+03 2.444385000000000000e+06 1.360564402785820903e+03 5.564453124999999738e-04 1.360126799173903464e+03 5.957787313177897873e-04
1.980399726214921202e+03 2.444386000000000000e+06 1.360661302785820908e+03 5.826171875000000187e-04 1.360510599385691194e+03 6.238006161884755534e-04
1.980402464065708500e+03 2.444387000000000000e+06 1.360751502785820776e+03 5.523437499999999918e-04 1.360523900529647563e+03 5.913872418977568924e-04
1.980405201916495571e+03 2.444388000000000000e+06 1.360956202785820778e+03 5.517578124999999480e-04 1.360921044592048020e+03 5.907598862663236217e-04
1.980407939767282642e+03 2.444389000000000000e+06 1.361180702785820813e+03 5.517578124999999480e-04 1.361293268553901498e+03 5.907598862663236217e-04
1.980410677618069712e+03 2.444390000000000000e+06 1.361398502785820710e+03 5.550781250000000160e-04 1.361678585416087799e+03 5.943149015111121557e-04
